name,entered_quote,exiting_quote,sfx
vera,"NPC:Que espelunca|NPC:Você poderia varrer esse chão, de vez em quando.|NPC:Não tenho tempo para papo furado. Mostre-me o que tem.","NPC:Mais dores para a barrela, mais fogo para a panela.|NPC:Os escravos servirão.",
olga,"NPC: Eu tenho uma barganha que você não pode recusar.|NPC:Vim buscar meu gato de volta.|PC:Olga, o gato morreu há mais de vinte anos.|NPC: Quando eu o troquei ele ainda era vivo|PC: Isso se chama tempo, ele faz isso com as pessoas.|PC:Normalmente...","NPC:Eu voltarei pelo gato.|NPC:Vem, Kashtar, pspspsps...|PC:Desista, Olga. Ele pertence ao Limbo agora.",
trix,"PC:Pois não?|NPC:Boa noite, é aqui que fica a loja de penhores do Limbo?|PC:O que você acha?|NPC:...",NPC:Então... Não precisa de fantasia pra vir aqui?,
punk,NPC:O limbo já me matou três vezes hoje...|PC:...|NPC:...e ainda não são nem três da tarde...,NPC:Ser punk é bom demais.|NPC:Apoie a cena local.,
edgar,"NPC:Mas que melancólico é o entardecer de hoje.|PC: O entardecer aqui é o mesmo há mais de cem anos, Edgar.|NPC:Foram cem longos anos de solidão.|NPC:Ao verme que primeiro roeu as frias carnes do meu cadáver...","NPC:Obrigado, nobre mecenas.|NPC:Com o auxílio de Vossa Infernal Estatura, serei o maior escritor de todos os tempos.|NPC:",
xuxa,"NPC:Faz de mim estrela, que eu já sei brilhar!|PC:Podemos negociar.|NPC:Só falta agora você topar matar o Supra pra eu ser a única loira demoníaca do Brasil|NPC:Oi gente, sou eu, Xu...|NPC: Caraca, que calor... Aff, vamos beber bastante líquido.","NPC: Um dia as almas das paquitas vão acabar, e eu finalmente vou levar a sua.|PC:Boa sorte encontrando algo que sobrou.",
supla,"NPC:Hey babe! Eu vim conhecer uns rockeiros de verdade!|PC:No limbo o rock já acabou há oito décadas|NPC:...|PC:Você está no lugar errado, o buraco é mais embaixo.","NPC:I'm a beatles, fan, you know? I love the beatles, haha, they're the best for me.|",
maria maldivas,"NPC: Querido, vocês têm wi-fi?|PC:Conexão com Satanás, senha Baphominho666.",NPC:Dá um like e se inscreva no canal!,
duduel,"PC: Pelo tridente de Lúcifer, Não ouse...|NPC: À paz do senhor!|PC:Seu tipo não é bem-vindo aqui.|NPC:Eu caminho com a graça do Criador ao meu lado, e todos os planos de existência pertencem ao Reino de Deus|PC:Aquele porco imperialista.|PC:Saia da minha loja.","NPC:Se o filho vos libertar, verdadeiramente sereis livre. João 8:36|NPC:Deus só deseja o bem para todos vocês. Jesus ama vocês.",
encosto,NPC:...|PC:O que você quer?|NPC:...|NPC:O perdão de um inimigo.,NPC:Talvez ainda haja esperança para você.,
